,0
0,1.737004041671753
1,1.6320115327835083
2,1.2352409362792969
3,1.5051549673080444
4,2.104907989501953
5,1.5668120384216309
6,1.895963430404663
7,1.289193034172058
8,1.0125317573547363
9,1.5842128992080688
10,1.8325426578521729
11,1.3493099212646484
12,1.249892234802246
13,1.8618721961975098
14,1.2618498802185059
15,1.3029148578643799
16,1.2721943855285645
17,2.307943344116211
18,1.8829121589660645
19,1.449324131011963
20,1.9062987565994263
21,2.1800992488861084
22,1.3073235750198364
23,2.5275540351867676
24,1.7762911319732666
25,2.2341840267181396
26,2.1617517471313477
27,1.64889657497406
28,1.7483842372894287
29,3.9526255130767822
30,1.8654685020446777
31,1.131246566772461
32,1.6511210203170776
33,1.6552937030792236
34,1.7983649969100952
35,1.4885690212249756
36,1.6051093339920044
37,1.7818458080291748
38,1.465151071548462
39,2.029919385910034
40,0.9647519588470459
41,1.9616565704345703
42,1.3851568698883057
43,1.246993899345398
44,1.231968641281128
45,1.870543122291565
46,1.4827079772949219
47,1.4853453636169434
48,1.4278005361557007
49,1.530041217803955
50,1.363459825515747
51,2.9188504219055176
52,1.6039302349090576
53,1.7613790035247803
54,1.5110812187194824
55,1.5753428936004639
56,1.0834145545959473
57,1.6792430877685547
58,28.438526153564453
59,1.5265370607376099
60,1.108801007270813
61,1.2143843173980713
62,2.307811737060547
63,2.1895294189453125
64,2.2527451515197754
65,1.222872257232666
66,1.4272985458374023
67,2.749464273452759
68,1.8201218843460083
69,1.4712088108062744
70,1.900583028793335
71,2.0551366806030273
72,1.625704288482666
73,1.8537993431091309
74,1.3077963590621948
75,1.2737581729888916
76,1.3724100589752197
77,1.2012312412261963
78,1.4729808568954468
79,1.1970107555389404
80,2.3827104568481445
81,1.3731987476348877
82,1.113022804260254
83,2.244256019592285
84,1.0061404705047607
85,1.3143991231918335
86,2.197495937347412
87,1.8904130458831787
88,1.1693150997161865
89,2.002422332763672
90,1.5725324153900146
91,1.706931471824646
92,1.5494942665100098
93,2.7670230865478516
94,0.8062708973884583
95,2.160465955734253
96,0.9980596303939819
97,1.2714817523956299
